Fill,Beam E,Start T,Stop T,Blue P_0,Blue dP/dT,Yellow P_0,Yellow dP/dT,Yellow dP/dT Error,Yellow P_0 Error,Blue dP/dT Error,Blue P_0 Error,Duration,Yellow P_f,Blue P_f,Yellow P_avg,Blue P_avg
34448,100,2024-05-11 16:50:48,2024-05-11 20:03:23,40.3,-1.42,45.93,-0.03,0.95,2.55,1.26,3.29,11555.0,45.8857732375,38.4632043611111,45.90788661875,39.38160218055555
34450,100,2024-05-12 00:54:53,2024-05-12 04:05:42,37.63,0.74,43.93,0.18,0.95,2.46,1.22,2.73,11449.0,44.18147728499999,38.515586510555565,44.055738642499996,38.07279325527779
34451,100,2024-05-12 04:48:55,2024-05-12 07:54:32,38.62,1.68,46.76,-0.13,0.99,2.52,1.2,2.73,11137.0,46.571945567777774,40.62718438666666,46.66597278388889,39.62359219333333
34452,100,2024-05-12 08:39:30,2024-05-12 11:51:15,41.07,1.45,42.99,1.15,0.98,2.7,1.1,2.53,11505.0,44.5699720625,42.9731666875,43.779986031250004,42.021583343749995
34453,100,2024-05-12 12:44:31,2024-05-12 15:52:26,39.38,0.18,45.27,-0.67,1.01,2.61,1.1,2.37,11275.0,44.3200530625,39.60200475,44.79502653125,39.491002375
34460,100,2024-05-13 07:52:43,2024-05-13 13:53:27,48.8,0.01,44.88,0.22,0.53,2.5,0.46,2.61,21644.0,45.47362277333334,48.829339644444445,45.17681138666667,48.81466982222222
34464,100,2024-05-13 19:16:12,2024-05-14 02:50:36,52.72,-0.18,52.8,-0.04,0.74,7.42,0.54,3.66,27264.0,52.640051199999995,52.00132096,52.7200256,52.36066048
34465,100,2024-05-14 03:56:21,2024-05-14 13:02:47,42.23,-0.18,47.78,-0.04,0.74,3.92,0.54,3.54,32786.0,47.605942768888895,41.53772361,47.69297138444445,41.883861804999995
34472,100,2024-05-14 21:10:55,2024-05-15 05:56:36,52.92,0.3,47.29,0.68,0.45,3.17,0.33,4.52,31541.0,50.10741734777777,54.3109581,48.69870867388889,53.615479050000005
34485,100,2024-05-17 03:48:59,2024-05-17 14:23:19,38.52,-0.18,42.54,-0.04,0.74,3.13,0.54,4.23,38060.0,42.36010306666667,37.7869644,42.45005153333334,38.1534822
34487,100,2024-05-17 16:55:09,2024-05-17 17:23:25,47.93,-0.18,50.31,-0.04,0.74,3.91,0.54,4.05,1696.0,50.30051936,47.88935536,50.305259680000006,47.90967768
34489,100,2024-05-17 20:43:05,2024-05-17 21:29:42,52.27,-0.18,53.52,-0.04,0.74,2.52,0.54,2.02,2797.0,53.50336717333334,52.19690040500001,53.51168358666667,52.23345020250001
34492,100,2024-05-18 05:11:17,2024-05-18 14:18:42,42.39,0.25,42.28,-0.12,0.35,2.44,0.37,2.55,32845.0,41.81710446666667,43.356874687499996,42.04855223333334,42.87343734375
34493,100,1970-01-01 00:00:00,1970-01-01 00:00:00,50.67,-0.18,54.7,-0.04,0.74,6.07,0.54,3.27,0.0,54.7,50.67,54.7,50.67
34494,100,2024-05-18 16:07:48,2024-05-18 16:25:53,50.39,-0.18,49.83,-0.04,0.74,3.85,0.54,3.28,1085.0,49.823992716666666,50.362663425,49.82699635833333,50.376331712500004
34496,100,2024-05-18 18:21:14,2024-05-18 21:22:11,48.52,-0.18,48.74,-0.04,0.74,3.41,0.54,3.52,10857.0,48.681203313333334,48.256609180000005,48.71060165666667,48.388304590000004
34499,100,2024-05-19 01:34:35,2024-05-19 09:48:33,47.42,-0.55,51.39,0.02,0.45,2.8,0.41,2.36,29638.0,51.47461649,45.27280922777778,51.432308245,46.34640461388889
34500,100,2024-05-19 10:32:41,2024-05-19 11:52:32,46.8,-0.18,49.64,-0.04,0.74,2.42,0.54,2.11,4791.0,49.613574973333336,46.687890599999996,49.62678748666667,46.74394529999999
34503,100,2024-05-19 18:31:37,2024-05-20 02:46:31,43.2,-0.01,47.83,0.25,0.33,2.46,0.24,1.67,29694.0,48.81629445833333,43.1643672,48.323147229166665,43.1821836
34504,100,2024-05-20 03:34:22,2024-05-20 13:49:03,43.14,0.01,55.97,0.3,0.31,2.8,0.22,1.74,36881.0,57.69019130833333,43.18419573166666,56.83009565416667,43.16209786583333
34509,100,2024-05-20 21:29:41,2024-05-21 06:23:33,39.02,-0.04,44.78,-0.1,0.29,2.04,0.27,2.01,32032.0,44.38155751111111,38.88112348444445,44.580778755555556,38.95056174222223
34510,100,2024-05-21 07:27:14,2024-05-21 07:28:28,42.86,-0.18,48.83,-0.04,0.74,3.1,0.54,2.58,74.0,48.829598508888886,42.858414180000004,48.82979925444444,42.85920709
34515,100,2024-05-22 00:32:40,2024-05-22 11:44:42,41.92,-0.4,49.58,-0.04,0.22,1.92,0.24,2.14,40322.0,49.35787058222222,40.041890844444445,49.46893529111111,40.98094542222222
34517,100,2024-05-23 00:37:39,2024-05-23 12:44:06,47.78,-0.52,46.68,-0.13,0.24,2.02,0.21,2.04,43587.0,45.945268469999995,44.77181898,46.312634235,46.275909490000004
34519,100,2024-05-23 19:54:05,2024-05-23 22:00:19,46.61,-0.18,50.39,-0.04,0.74,1.99,0.54,2.5,7574.0,50.34759401555556,46.43348793,50.36879700777778,46.521743965
